"table_name","column_name","data_type","is_nullable","character_maximum_length","is_primary_key","is_foreign_key","referenced_table","referenced_column"
"Empresa","idEmpresa","bigint","NO",NULL,"YES","NO",NULL,NULL
"Empresa","nombrecomercial","character varying","YES",180,"NO","NO",NULL,NULL
"Empresa","planid","bigint","YES",NULL,"NO","NO",NULL,NULL
"Empresa","estado","character varying","NO",20,"NO","NO",NULL,NULL
"Sucursal","idSucursal","bigint","NO",NULL,"YES","NO",NULL,NULL
"Sucursal","empresaID","bigint","YES",NULL,"NO","YES","Empresa","idEmpresa"
"Florista","idFlorista","bigint","NO",NULL,"YES","NO",NULL,NULL
"Florista","empresaID","bigint","YES",NULL,"NO","YES","Empresa","idEmpresa"
"Florista","sucursalID","bigint","YES",NULL,"NO","YES","Sucursal","idSucursal"
"Pedido","idPedido","bigint","NO",NULL,"YES","NO",NULL,NULL
"Pedido","empresaID","bigint","YES",NULL,"NO","YES","Empresa","idEmpresa"
"Pedido","estadoPedidoID","bigint","YES",NULL,"NO","NO",NULL,NULL
"Produccion","idProduccion","bigint","NO",NULL,"YES","NO",NULL,NULL
"Produccion","empresaID","bigint","YES",NULL,"NO","YES","Empresa","idEmpresa"
"Produccion","sucursalID","bigint","YES",NULL,"NO","YES","Sucursal","idSucursal"
"Produccion","pedidoID","bigint","YES",NULL,"NO","YES","Pedido","idPedido"
"Produccion","floristaID","bigint","YES",NULL,"NO","YES","Florista","idFlorista"
"Produccion","fechaProgramadaProduccion","date","YES",NULL,"NO","NO",NULL,NULL
"Produccion","estado","character varying","YES",30,"NO","NO",NULL,NULL
"Rol","idRol","bigint","NO",NULL,"YES","NO",NULL,NULL
"Rol","empresaID","bigint","NO",NULL,"NO","YES","Empresa","idEmpresa"
"Rol","nombreRol","character varying","NO",80,"NO","NO",NULL,NULL
"permisomodulo","rolid","bigint","NO",NULL,"YES","YES","Rol","idRol"
"permisomodulo","modulo","character varying","NO",80,"YES","NO",NULL,NULL
"permisomodulo","puedever","boolean","NO",NULL,"NO","NO",NULL,NULL
"permisomodulo","puedecrear","boolean","NO",NULL,"NO","NO",NULL,NULL
"permisomodulo","puedeeditar","boolean","NO",NULL,"NO","NO",NULL,NULL
"permisomodulo","puedeeliminar","boolean","NO",NULL,"NO","NO",NULL,NULL
"planmodulo","planid","bigint","NO",NULL,"YES","NO",NULL,NULL
"planmodulo","modulo","character varying","NO",80,"YES","NO",NULL,NULL
"planmodulo","activo","boolean","NO",NULL,"NO","NO",NULL,NULL
